canonical_smiles,IC50
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C(F)=C)c2ccc(c(F)c2n1)-c1cccc2C3CC3Cc12,1
Fc1c(ncc2c(nc(OCC3(CN4CCCC4)CC3)nc12)N1CCN([C@@H](CC#N)C1)C(=O)C=C)-c1cccc2cccc(Cl)c12,1
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3cnc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(c(F)c2n1)-c1cccc2C3CC3Cc12,1
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C=C)c3cnc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cnc(c(F)c2n1)-c1cccc2C3CC3Cc12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C(F)=C)c2ccc(c(F)c2n1)-c1cccc2cccc(Cl)c12,1
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3ccc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,1
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3ccc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(cc2n1)-c1cccc2C3CC3Cc12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cc(F)c(cc2n1)-c1cccc2ccc(F)c(Cl)c12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(nc2n1)-c1cccc2cccc(Cl)c12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cc(F)c(cc2n1)-c1cccc2cccc(Cl)c12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cnc(c(F)c2n1)-c1ccc(F)c2CCCCc12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cc(Cl)c(cc2n1)-c1cccc2cccc(Cl)c12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(c(F)c2n1)-c1cccc2cccc(Cl)c12,1
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ncc(cc2n1)-c1cccc2ccc(F)c(Cl)c12,1
C[C@H]1CN(CCN1c1nc(OC[C@@H]2CCCN2C)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc2ccccc12)C(=O)C=C,1
CN1CCC[C@H]1COc1nc(N2C[C@@H]3[C@H]2CCN3C(=O)C(F)=C)c2cnc(c(F)c2n1)-c1cccc2CCCCc12,1
C[C@H]1CN(CCN1c1nc(OC[C@@H]2CCCN2C)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\CF,0
Cc1c(c(nn1C1CC2(C1)CN(C2)C(=O)OC(C)(C)C)-c1ccc2nn(CCOS(C)(=O)=O)cc2c1)-c1c(Cl)c(C)cc2n(ncc12)C1CCCCO1,0
COCCn1cc2cc(ccc2n1)-c1nn(C2CC3(C2)CN(C3)C(=O)C=C)c(C)c1-c1c(Cl)c(C)cc2[nH]nc(N)c12,0
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(nc2n1)-c1cccc2CCCCc12,1
CN1C[C@H]2C[C@H]2[C@H]1COc1nc(N2CCN(CC2)C(=O)C=C)c2cc(Cl)c(cc2n1)-c1nc(N)ccc1C(F)(F)F,1
COCC1CCC(COc2nc(N3CCN(CC3)C(=O)C=C)c3cc(Cl)c(cc3n2)-c2nc(N)ccc2C(F)(F)F)N1C,1
C[C@H]1CN(CCN1c1nc(OC[C@@H]2C[C@@H](F)CN2C)nc2c(F)c(c(F)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C=C,1
C[C@H]1CN(CCN1c1nc(OC[C@@H]2C[C@@H](F)CN2C)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C(F)=C,0
CN1C[C@H](F)C[C@H]1COc1nc(N2CCN([C@H](CC#N)C2)C(=O)C(F)=C)c2cc(Cl)c(c(F)c2n1)-c1nc(N)cc(C)c1C(F)(F)F,0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N1CC[C@]2(CCN(C2)C(=O)C#CC(C)(C)N(C)C)C1=O,1
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)C[C@@H]1COC2(CN(C2)C(=O)C#CC(C)(C)N(C)C)O1)-c1cccnc1[C@H](C)OC,1
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3ncc(o3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,1
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,1
CC[C@@H](COC1CN(C1)C(=O)C#CC(C)(C)N(C)C)C(=O)N[C@H]1Cc2nc(cs2)-c2ccc3n(CC)c(c(CC(C)(C)COC(=O)[C@@H]4CCCN(N4)C1=O)c3c2)-c1cccnc1[C@H](C)OC,1
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3ncc(o3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N(C)C,1
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N(C)C1CN(C1)C(=O)C=C,1
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@@H](COC1CN(C1)C(=O)C#CC(C)(C)N(C)C)C(C)C)-c1cccnc1C(C)OC,1
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C[C@H]3CN(CCO3)c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@]1(F)CCC(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1C(C)OC,1
