smiles,IC50,lgIC50
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C(F)=C)c2ccc(c(F)c2n1)-c1cccc2C3CC3Cc12,0.49,-0.3098039199714863
Fc1c(ncc2c(nc(OCC3(CN4CCCC4)CC3)nc12)N1CCN([C@@H](CC#N)C1)C(=O)C=C)-c1cccc2cccc(Cl)c12,0.59,-0.22914798835785583
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3cnc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,0.59,-0.22914798835785583
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(c(F)c2n1)-c1cccc2C3CC3Cc12,0.71,-0.14874165128092473
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C=C)c3cnc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,0.71,-0.14874165128092473
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cnc(c(F)c2n1)-c1cccc2C3CC3Cc12,0.79,-0.10237290870955855
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C(F)=C)c2ccc(c(F)c2n1)-c1cccc2cccc(Cl)c12,0.89,-0.0506099933550872
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3ccc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,0.93,-0.031517051446064856
F[C@H]1CN2CCC[C@@]2(COc2nc(N3CCN([C@@H](CC#N)C3)C(=O)C(F)=C)c3ccc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,1.02,0.008600171761917567
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(cc2n1)-c1cccc2C3CC3Cc12,1.29,0.11058971029924897
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cc(F)c(cc2n1)-c1cccc2ccc(F)c(Cl)c12,1.32,0.1205739312058499
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2ccc(nc2n1)-c1cccc2cccc(Cl)c12,5.12,0.7092699609758307
CN1CCC[C@H]1COc1nc(N2CCN([C@@H](CC#N)C2)C(=O)C=C)c2cc(F)c(cc2n1)-c1cccc2cccc(Cl)c12,1.44,0.15836249209524964
